customer_id,segment,frequency,recency_days,first_purchase_date,last_purchase_date,customer_lifetime_days,average_purchase_frequency,total_amount
96,churned,1,279,28/03/2024,28/03/2024,0,,514.1964932225333
97,at_risk,4,92,29/05/2024,01/10/2024,125,31.25,4459.124287454369
98,potential,11,23,06/01/2024,09/12/2024,338,30.727272727272727,13499.072143629217
99,potential,10,38,14/01/2024,24/11/2024,315,31.5,17279.798011692357
100,high_value,16,14,12/01/2024,18/12/2024,341,21.3125,104259.15246931133
101,churned,1,162,23/07/2024,23/07/2024,0,,432.5144308484391
102,loyal,11,20,24/01/2024,12/12/2024,323,29.363636363636363,66746.92954063063
103,potential,8,32,03/02/2024,30/11/2024,301,37.625,13484.137598020028
104,churned,1,209,06/06/2024,06/06/2024,0,,5619.262867856168
105,new,4,19,06/03/2024,13/12/2024,282,70.5,3389.3117572516103
106,potential,10,17,24/01/2024,15/12/2024,326,32.6,23359.625210376857
107,high_value,18,22,13/01/2024,10/12/2024,332,18.444444444444443,92557.34111072354
108,loyal,18,16,18/01/2024,16/12/2024,333,18.5,61269.97087497628
109,at_risk,4,90,23/01/2024,03/10/2024,254,63.5,10070.997930274692
110,potential,10,18,15/02/2024,14/12/2024,303,30.3,16213.273500221861
111,potential,9,14,27/01/2024,18/12/2024,326,36.22222222222222,33358.13291941393
112,at_risk,2,255,21/03/2024,21/04/2024,31,15.5,3071.5457624748433
113,new,4,52,07/01/2024,10/11/2024,308,77.0,12504.437331771423
114,potential,11,37,05/01/2024,25/11/2024,325,29.545454545454547,17021.536269332915
115,high_value,19,4,16/01/2024,28/12/2024,347,18.263157894736842,55595.682320324544
116,high_value,17,9,10/01/2024,23/12/2024,348,20.470588235294116,91762.33471758838
117,potential,8,80,12/01/2024,13/10/2024,275,34.375,6671.413140396738
118,high_value,23,33,09/01/2024,29/11/2024,325,14.130434782608695,87360.04391200304
119,high_value,15,12,07/02/2024,20/12/2024,317,21.133333333333333,88545.67164496235
120,potential,9,22,04/01/2024,10/12/2024,341,37.888888888888886,20898.150974556724
121,potential,8,25,21/02/2024,07/12/2024,290,36.25,9962.135780335822
122,potential,8,12,22/03/2024,20/12/2024,273,34.125,19934.2030814176
123,at_risk,3,211,21/05/2024,04/06/2024,14,4.666666666666667,2263.958061677612
124,loyal,15,31,19/01/2024,01/12/2024,317,21.133333333333333,37970.381179776225
125,loyal,17,30,14/01/2024,02/12/2024,323,19.0,37260.799178075584
126,at_risk,3,115,06/02/2024,08/09/2024,215,71.66666666666667,1326.5882382548307
127,high_value,17,47,15/01/2024,15/11/2024,305,17.941176470588236,76009.84555488576
128,new,3,40,20/02/2024,22/11/2024,276,92.0,5599.507022730371
129,high_value,16,18,26/01/2024,14/12/2024,323,20.1875,90579.71390286754
130,churned,1,319,17/02/2024,17/02/2024,0,,160.3249532692358
131,new,4,32,25/05/2024,30/11/2024,189,47.25,3069.23542865562
132,high_value,20,13,05/01/2024,19/12/2024,349,17.45,114029.70985732049
133,high_value,19,12,11/01/2024,20/12/2024,344,18.105263157894736,111268.59188963189
134,high_value,17,24,17/01/2024,08/12/2024,326,19.176470588235293,86252.491834979
135,new,3,81,14/02/2024,12/10/2024,241,80.33333333333333,2821.4142284371915
136,loyal,15,56,05/01/2024,06/11/2024,306,20.4,68208.29596952404
137,new,3,21,23/03/2024,11/12/2024,263,87.66666666666667,1395.7911702925785
138,new,4,167,08/04/2024,18/07/2024,101,25.25,5693.521554518818
140,high_value,21,27,16/01/2024,05/12/2024,324,15.428571428571429,111150.56638207677
141,at_risk,2,273,31/01/2024,03/04/2024,63,31.5,7616.273625290501
143,high_value,23,83,08/01/2024,10/10/2024,276,12.0,69133.5612196806
144,at_risk,1,291,16/03/2024,16/03/2024,0,,434.7325829350956
145,loyal,17,57,01/01/2024,05/11/2024,309,18.176470588235293,52570.69638297122
146,new,2,28,16/02/2024,04/12/2024,292,146.0,1564.5027332642244
147,high_value,17,16,04/01/2024,16/12/2024,347,20.41176470588235,98485.06738731987
148,at_risk,4,156,11/01/2024,29/07/2024,200,50.0,2852.1553237738244
149,new,3,232,02/02/2024,14/05/2024,102,34.0,3704.059180980663
150,new,3,63,10/08/2024,30/10/2024,81,27.0,4247.532614660521
151,new,3,41,28/04/2024,21/11/2024,207,69.0,2150.274043141977
152,potential,9,22,16/02/2024,10/12/2024,298,33.111111111111114,9461.941626180913
153,potential,8,56,24/01/2024,06/11/2024,287,35.875,13395.047234768272
154,loyal,13,39,03/01/2024,23/11/2024,325,25.0,45599.67096099823
155,loyal,16,34,16/03/2024,28/11/2024,257,16.0625,46042.0286014415
156,loyal,18,48,30/01/2024,14/11/2024,289,16.055555555555557,35176.48785878298
157,at_risk,3,111,27/01/2024,12/09/2024,229,76.33333333333333,3408.156431119393
158,potential,8,51,19/01/2024,11/11/2024,297,37.125,8617.569815278319
160,high_value,23,15,04/01/2024,17/12/2024,348,15.130434782608695,148831.14361563404
161,loyal,15,26,15/01/2024,06/12/2024,326,21.733333333333334,50102.904529677384
162,new,4,137,24/01/2024,17/08/2024,206,51.5,16767.3632241802
163,at_risk,4,151,26/03/2024,03/08/2024,130,32.5,8726.125291249311
164,churned,2,164,26/02/2024,21/07/2024,146,73.0,5311.049284926254
165,potential,9,36,07/01/2024,26/11/2024,324,36.0,7764.424661241738
166,at_risk,4,113,28/01/2024,10/09/2024,226,56.5,8195.419361980772
167,new,4,87,22/01/2024,06/10/2024,258,64.5,4091.3170259249346
168,potential,9,15,10/01/2024,17/12/2024,342,38.0,17809.983677973916
169,high_value,22,4,07/01/2024,28/12/2024,356,16.181818181818183,118767.65798433455
170,high_value,20,26,18/02/2024,06/12/2024,292,14.6,98742.30118443494
171,loyal,18,18,19/02/2024,14/12/2024,299,16.61111111111111,50383.95295408308
172,new,3,10,27/05/2024,22/12/2024,209,69.66666666666667,3870.2840184157862
173,potential,8,78,14/04/2024,15/10/2024,184,23.0,19603.313046145606
174,high_value,20,17,01/02/2024,15/12/2024,318,15.9,175451.35103546048
175,potential,7,47,30/03/2024,15/11/2024,230,32.857142857142854,21421.596954513963
176,new,4,41,04/03/2024,21/11/2024,262,65.5,8525.346187735004
177,potential,7,24,26/02/2024,08/12/2024,286,40.857142857142854,13517.357413329113
178,new,3,201,08/04/2024,14/06/2024,67,22.333333333333332,2399.398027632314
179,high_value,20,11,25/01/2024,21/12/2024,331,16.55,82192.25187238088
180,potential,8,111,09/01/2024,12/09/2024,247,30.875,11283.414264527055
183,loyal,16,13,24/01/2024,19/12/2024,330,20.625,40274.300599111055
184,new,4,11,21/02/2024,21/12/2024,304,76.0,2420.1371038127713
185,high_value,17,18,25/01/2024,14/12/2024,324,19.058823529411764,57399.84437476034
186,potential,9,62,05/01/2024,31/10/2024,300,33.333333333333336,16635.317758267716
187,high_value,15,18,10/01/2024,14/12/2024,339,22.6,39914.25354123084
189,loyal,17,30,30/01/2024,02/12/2024,307,18.058823529411764,50738.954545308115
190,new,3,32,13/01/2024,30/11/2024,322,107.33333333333333,4723.976994628964
191,high_value,20,24,12/01/2024,08/12/2024,331,16.55,95904.09832503543
192,potential,9,22,17/02/2024,10/12/2024,297,33.0,8233.167425838661
193,at_risk,5,74,01/01/2024,19/10/2024,292,58.4,17981.740707358527
194,potential,7,95,19/01/2024,28/09/2024,253,36.142857142857146,9524.82450801082
195,potential,10,94,02/01/2024,29/09/2024,271,27.1,27947.057067711183
196,loyal,15,29,15/02/2024,03/12/2024,292,19.466666666666665,70062.22435058859
197,loyal,12,108,17/01/2024,15/09/2024,242,20.166666666666668,42470.79611186067
199,at_risk,1,187,28/06/2024,28/06/2024,0,,1191.182083954361
200,potential,7,120,20/02/2024,03/09/2024,196,28.0,6552.268603237596
201,potential,9,54,15/01/2024,08/11/2024,298,33.111111111111114,18972.341628589435
202,new,3,118,27/01/2024,05/09/2024,222,74.0,4485.175853751151
203,loyal,12,55,28/01/2024,07/11/2024,284,23.666666666666668,23329.827007741897
204,potential,8,17,09/01/2024,15/12/2024,341,42.625,13652.683496912403
205,potential,9,33,08/02/2024,29/11/2024,295,32.77777777777778,13557.807434116556
206,potential,9,95,29/01/2024,28/09/2024,243,27.0,18571.38042899626
207,potential,11,70,06/01/2024,23/10/2024,291,26.454545454545453,19398.171632423364
208,loyal,12,30,05/01/2024,02/12/2024,332,27.666666666666668,33340.37484157983
209,at_risk,2,81,21/06/2024,12/10/2024,113,56.5,3301.2016703421023
210,loyal,16,41,12/01/2024,21/11/2024,314,19.625,65999.12566046565
211,high_value,22,37,04/01/2024,25/11/2024,326,14.818181818181818,141926.02378663456
212,loyal,13,49,24/01/2024,13/11/2024,294,22.615384615384617,52236.725107067665
213,potential,9,96,06/01/2024,27/09/2024,265,29.444444444444443,17954.32251331668
214,at_risk,5,147,27/02/2024,07/08/2024,162,32.4,10263.546576819372
216,churned,2,330,05/01/2024,06/02/2024,32,16.0,1922.4398495869245
217,at_risk,3,83,08/05/2024,10/10/2024,155,51.666666666666664,1894.3613614220358
218,potential,11,12,21/01/2024,20/12/2024,334,30.363636363636363,15733.431068469572
219,churned,1,322,14/02/2024,14/02/2024,0,,148.64721275099384
220,potential,10,66,26/03/2024,27/10/2024,215,21.5,14031.142849031741
221,high_value,20,27,24/01/2024,05/12/2024,316,15.8,103322.14094549105
222,potential,9,67,19/01/2024,26/10/2024,281,31.22222222222222,11056.31199804836
223,new,3,194,13/06/2024,21/06/2024,8,2.6666666666666665,14941.9367302766
224,potential,8,23,21/01/2024,09/12/2024,323,40.375,20151.415285921874
225,loyal,13,46,21/01/2024,16/11/2024,300,23.076923076923077,60779.621951187735
226,churned,1,353,14/01/2024,14/01/2024,0,,990.11747342806
227,high_value,14,113,03/01/2024,10/09/2024,251,17.928571428571427,75498.90357578296
228,potential,8,109,03/02/2024,14/09/2024,224,28.0,13432.226174455867
229,potential,11,33,28/01/2024,29/11/2024,306,27.818181818181817,18263.873986904586
230,loyal,11,49,22/01/2024,13/11/2024,296,26.90909090909091,31768.051379367716
231,potential,10,109,23/01/2024,14/09/2024,235,23.5,14871.3584573152
232,loyal,13,61,11/02/2024,01/11/2024,264,20.307692307692307,32830.44742026765
233,at_risk,2,64,22/04/2024,29/10/2024,190,95.0,4797.335216448759
234,high_value,24,36,16/01/2024,26/11/2024,315,13.125,76082.44740151954
236,potential,7,63,04/03/2024,30/10/2024,240,34.285714285714285,13069.565088519195
237,new,3,108,05/01/2024,15/09/2024,254,84.66666666666667,15971.424020292567
238,potential,7,78,18/03/2024,15/10/2024,211,30.142857142857142,9289.734419973942
239,potential,8,24,09/03/2024,08/12/2024,274,34.25,18355.611193056553
240,churned,2,304,25/01/2024,03/03/2024,38,19.0,1147.8942130619307
241,high_value,17,30,28/01/2024,02/12/2024,309,18.176470588235293,75641.44340306698
242,potential,8,28,06/04/2024,04/12/2024,242,30.25,17438.598398767223
243,at_risk,3,91,25/01/2024,02/10/2024,251,83.66666666666667,11282.41602840571
245,at_risk,3,159,07/03/2024,26/07/2024,141,47.0,3590.126577352715
246,potential,10,52,16/01/2024,10/11/2024,299,29.9,22037.452914801575
247,at_risk,4,244,13/02/2024,02/05/2024,79,19.75,9918.67234670214
248,new,4,50,19/03/2024,12/11/2024,238,59.5,7890.130296627435
249,loyal,17,28,01/01/2024,04/12/2024,338,19.88235294117647,60115.34579384445
250,potential,9,49,11/01/2024,13/11/2024,307,34.111111111111114,19762.638891779312
251,new,4,140,15/01/2024,14/08/2024,212,53.0,4901.343184491077
252,new,4,22,19/04/2024,10/12/2024,235,58.75,12492.777814168494
253,at_risk,3,123,07/04/2024,31/08/2024,146,48.666666666666664,1937.977539615799
254,new,2,54,08/03/2024,08/11/2024,245,122.5,2445.1793188745846
255,churned,1,306,01/03/2024,01/03/2024,0,,997.6265157841724
257,high_value,16,88,08/01/2024,05/10/2024,271,16.9375,77585.85445663484
258,high_value,23,15,14/01/2024,17/12/2024,338,14.695652173913043,129135.69664601366
259,potential,10,32,06/04/2024,30/11/2024,238,23.8,12028.23660888678
260,potential,8,43,01/03/2024,19/11/2024,263,32.875,13225.690327303648
261,potential,10,23,15/01/2024,09/12/2024,329,32.9,27154.682275221632
262,loyal,16,22,01/01/2024,10/12/2024,344,21.5,49543.355213010145
263,loyal,12,30,08/03/2024,02/12/2024,269,22.416666666666668,37886.2497487438
264,loyal,13,41,09/01/2024,21/11/2024,317,24.384615384615383,55587.82599015036
265,high_value,20,7,07/01/2024,25/12/2024,353,17.65,109711.50757721427
266,potential,8,39,26/01/2024,23/11/2024,302,37.75,8765.584045337917
267,new,3,32,04/02/2024,30/11/2024,300,100.0,2698.7344612116394
268,loyal,13,44,08/01/2024,18/11/2024,315,24.23076923076923,25252.72449212033
269,high_value,14,26,12/01/2024,06/12/2024,329,23.5,79082.69641672498
270,loyal,11,46,31/01/2024,16/11/2024,290,26.363636363636363,37203.273821447045
272,at_risk,5,96,31/03/2024,27/09/2024,180,36.0,5302.905138704788
273,high_value,23,7,09/01/2024,25/12/2024,351,15.26086956521739,82166.29347969232
274,potential,10,16,18/01/2024,16/12/2024,333,33.3,13416.513926971089
275,at_risk,3,123,06/04/2024,31/08/2024,147,49.0,7909.395527255978
276,loyal,12,24,13/01/2024,08/12/2024,330,27.5,57461.56190859787
277,high_value,14,59,15/01/2024,03/11/2024,293,20.928571428571427,49031.860752547735
278,at_risk,2,211,02/04/2024,04/06/2024,63,31.5,2622.352213146019
279,at_risk,4,99,22/02/2024,24/09/2024,215,53.75,2825.3072399718967
280,new,2,180,18/03/2024,05/07/2024,109,54.5,8170.2990123269465
281,loyal,12,31,12/01/2024,01/12/2024,324,27.0,25885.728635700834
282,at_risk,2,176,29/01/2024,09/07/2024,162,81.0,1229.0890689985572
283,at_risk,3,197,04/03/2024,18/06/2024,106,35.333333333333336,4395.290398507455
284,potential,10,18,18/01/2024,14/12/2024,331,33.1,19678.428962692087
285,potential,9,35,17/02/2024,27/11/2024,284,31.555555555555557,11960.9359242113
286,new,4,78,07/02/2024,15/10/2024,251,62.75,4177.023574707292
287,loyal,18,16,18/01/2024,16/12/2024,333,18.5,52943.112453498485
288,loyal,14,20,03/01/2024,12/12/2024,344,24.571428571428573,68527.24909166605
289,potential,9,48,03/02/2024,14/11/2024,285,31.666666666666668,11224.88163531635
291,high_value,20,6,16/01/2024,26/12/2024,345,17.25,76774.21768115197
292,loyal,14,57,21/03/2024,05/11/2024,229,16.357142857142858,43556.781554192625
293,new,4,39,28/05/2024,23/11/2024,179,44.75,2513.215721984304
294,loyal,14,10,13/02/2024,22/12/2024,313,22.357142857142858,45524.77634236705
295,at_risk,4,129,25/02/2024,25/08/2024,182,45.5,1834.712199251148
296,churned,1,303,04/03/2024,04/03/2024,0,,450.8082195019357
297,loyal,16,62,11/02/2024,31/10/2024,263,16.4375,61764.88496064269
298,potential,9,18,04/01/2024,14/12/2024,345,38.333333333333336,36092.02426286043
299,loyal,18,44,20/01/2024,18/11/2024,303,16.833333333333332,65570.35012706635
300,high_value,17,34,09/01/2024,28/11/2024,324,19.058823529411764,109794.75370737317
301,high_value,23,8,16/01/2024,24/12/2024,343,14.91304347826087,140314.84861688328
302,potential,11,67,04/01/2024,26/10/2024,296,26.90909090909091,12857.340253431212
303,loyal,19,33,04/01/2024,29/11/2024,330,17.36842105263158,43840.55926065872
305,high_value,16,5,27/03/2024,27/12/2024,275,17.1875,43917.72245833435
306,loyal,18,15,11/01/2024,17/12/2024,341,18.944444444444443,63402.066723377044
307,loyal,14,68,06/01/2024,25/10/2024,293,20.928571428571427,44459.016370678546
308,loyal,18,33,23/01/2024,29/11/2024,311,17.27777777777778,50384.173648858356
309,loyal,19,18,08/01/2024,14/12/2024,341,17.94736842105263,82349.05689362925
310,loyal,17,28,19/01/2024,04/12/2024,320,18.823529411764707,54811.50080266209
311,at_risk,4,84,08/01/2024,09/10/2024,275,68.75,4822.420828239277
313,high_value,17,22,09/01/2024,10/12/2024,336,19.764705882352942,112036.73270406343
314,new,3,154,02/02/2024,31/07/2024,180,60.0,11860.682141247275
315,churned,1,127,27/08/2024,27/08/2024,0,,3189.817018435372
316,high_value,16,24,28/01/2024,08/12/2024,315,19.6875,59375.21579023166
317,high_value,21,20,09/01/2024,12/12/2024,338,16.095238095238095,111456.05253153149
318,potential,9,26,26/03/2024,06/12/2024,255,28.333333333333332,18218.885349859887
319,high_value,18,30,04/01/2024,02/12/2024,333,18.5,97645.58008298736
320,loyal,14,20,01/03/2024,12/12/2024,286,20.428571428571427,62451.37693566479
321,at_risk,5,100,18/02/2024,23/09/2024,218,43.6,19276.72772445166
322,at_risk,2,124,11/07/2024,30/08/2024,50,25.0,8800.936049234595
323,at_risk,3,86,26/08/2024,07/10/2024,42,14.0,1295.5111580219022
324,at_risk,5,98,27/01/2024,25/09/2024,242,48.4,10183.773709548792
325,at_risk,4,85,25/04/2024,08/10/2024,166,41.5,7358.215238827389
326,new,3,73,28/01/2024,20/10/2024,266,88.66666666666667,3426.035726679219
327,potential,7,9,06/02/2024,23/12/2024,321,45.857142857142854,10419.329949540792
328,potential,9,42,05/01/2024,20/11/2024,320,35.55555555555556,10251.2011896837
329,at_risk,2,79,17/03/2024,14/10/2024,211,105.5,1094.1340119071783
330,at_risk,2,202,05/04/2024,13/06/2024,69,34.5,188.40121419999107
331,loyal,14,30,16/01/2024,02/12/2024,321,22.928571428571427,53814.43757860072
332,high_value,17,68,10/01/2024,25/10/2024,289,17.0,71939.50934534494
333,loyal,12,12,24/03/2024,20/12/2024,271,22.583333333333332,45382.74880846226
335,potential,9,18,06/01/2024,14/12/2024,343,38.111111111111114,10359.474417418427
336,churned,1,212,03/06/2024,03/06/2024,0,,1530.4496385727523
337,loyal,14,37,15/03/2024,25/11/2024,255,18.214285714285715,18743.537405946794
338,at_risk,3,167,11/04/2024,18/07/2024,98,32.666666666666664,8915.681674075684
339,at_risk,3,186,19/03/2024,29/06/2024,102,34.0,3144.073585411567
340,at_risk,4,107,10/01/2024,16/09/2024,250,62.5,11941.834074023156
341,loyal,13,52,08/01/2024,10/11/2024,307,23.615384615384617,36242.884864228596
342,at_risk,5,90,02/02/2024,03/10/2024,244,48.8,5163.600458154389
343,high_value,15,14,08/02/2024,18/12/2024,314,20.933333333333334,49632.20786527673
344,potential,10,72,13/03/2024,21/10/2024,222,22.2,14744.076435622974
345,new,4,136,12/05/2024,18/08/2024,98,24.5,4623.04349757134
346,potential,7,117,15/04/2024,06/09/2024,144,20.571428571428573,16179.3160399266
347,high_value,24,35,01/02/2024,27/11/2024,300,12.5,141273.56053663205
348,potential,9,24,11/01/2024,08/12/2024,332,36.888888888888886,14740.409868317718
349,high_value,16,46,03/01/2024,16/11/2024,318,19.875,92911.86858542768
350,new,3,151,04/03/2024,03/08/2024,152,50.666666666666664,2403.4549177129925
351,potential,10,26,16/01/2024,06/12/2024,325,32.5,23446.869290886785
352,high_value,23,16,06/01/2024,16/12/2024,345,15.0,110252.75001520748
353,at_risk,2,220,28/03/2024,26/05/2024,59,29.5,376.2324697900516
354,at_risk,4,96,17/04/2024,27/09/2024,163,40.75,9384.411091998234
355,churned,1,310,26/02/2024,26/02/2024,0,,318.7825621891668
356,potential,9,62,24/03/2024,31/10/2024,221,24.555555555555557,10373.560249993727
357,potential,9,26,30/01/2024,06/12/2024,311,34.55555555555556,28238.921553152402
358,loyal,17,37,24/01/2024,25/11/2024,306,18.0,53134.10240025765
359,at_risk,3,167,15/01/2024,18/07/2024,185,61.666666666666664,1103.2033824912805
360,high_value,18,43,05/01/2024,19/11/2024,319,17.72222222222222,85360.22729072483
361,potential,10,33,05/01/2024,29/11/2024,329,32.9,25881.74644597117
362,potential,8,34,28/03/2024,28/11/2024,245,30.625,15736.77546607891
363,potential,8,41,23/01/2024,21/11/2024,303,37.875,13381.660496479226
364,at_risk,5,89,13/01/2024,04/10/2024,265,53.0,26387.951657782025
365,high_value,16,6,09/02/2024,26/12/2024,321,20.0625,100698.76846558535
366,at_risk,3,113,02/04/2024,10/09/2024,161,53.666666666666664,7871.605599915378
367,at_risk,3,164,13/02/2024,21/07/2024,159,53.0,7545.358603762561
369,potential,11,47,02/02/2024,15/11/2024,287,26.09090909090909,8579.739866880938
370,at_risk,5,75,14/02/2024,18/10/2024,247,49.4,5303.928732879879
371,at_risk,5,66,11/01/2024,27/10/2024,290,58.0,5155.219009101989
372,potential,10,27,05/01/2024,05/12/2024,335,33.5,24165.64301366655
373,at_risk,4,81,06/03/2024,12/10/2024,220,55.0,16764.647491163676
374,at_risk,3,166,03/04/2024,19/07/2024,107,35.666666666666664,3015.3501462941595
375,new,3,125,15/01/2024,29/08/2024,227,75.66666666666667,4152.636072280304
376,new,3,261,22/01/2024,15/04/2024,84,28.0,896.1575357604585
377,loyal,12,27,06/01/2024,05/12/2024,334,27.833333333333332,32816.2891678016
378,loyal,14,52,09/02/2024,10/11/2024,275,19.642857142857142,56710.56994951428
379,loyal,14,49,18/01/2024,13/11/2024,300,21.428571428571427,54692.35852020085
